order_book_id,date,prev_close,low,volume,close,high,total_turnover,open
000941.XSHG,2015-07-23,2151.2398,2146.2691,1669105400.0,2214.9429,2225.2753,28476594948.5,2156.265
000941.XSHG,2015-07-24,2214.9429,2151.6587,1838151000.0,2170.4282,2245.7653,32878629682.2,2226.7259
000941.XSHG,2015-07-27,2170.4282,1976.9189,1400311900.0,1978.2975,2177.3381,23714441887.9,2118.3772
000941.XSHG,2015-07-28,1978.2975,1819.7979,1514264900.0,1913.0267,1987.252,23006830408.3,1889.1194
000941.XSHG,2015-07-29,1913.0267,1888.1076,1113828400.0,2020.4742,2022.5838,17615124908.3,1951.0164
000941.XSHG,2015-07-30,2020.4742,1936.9496,1188072100.0,1949.6421,2053.8894,19231137131.7,2017.232
000941.XSHG,2015-07-31,1949.6421,1918.4019,899768300.0,1943.7336,1981.0182,14105018706.1,1920.8237
000941.XSHG,2015-08-03,1943.7336,1869.7441,986902000.0,1914.083,1953.0462,15336956247.8,1912.7401
000941.XSHG,2015-08-04,1914.083,1918.7623,977673900.0,2025.4719,2025.6888,15392373752.5,1925.2243
000941.XSHG,2015-08-05,2025.4719,1979.5307,965183600.0,1990.0605,2049.2293,15365792057.6,2015.4551
000941.XSHG,2015-08-06,1990.0605,1941.7505,898869400.0,2013.5843,2042.2116,14582337729.3,1948.8081
000941.XSHG,2015-08-07,2013.5843,2040.7482,1200603700.0,2084.2425,2091.6221,20475351061.2,2046.664
000941.XSHG,2015-08-10,2084.2425,2100.3225,1519813300.0,2188.1104,2201.8766,26175488046.9,2115.7942
000941.XSHG,2015-08-11,2188.1104,2167.7433,1472637200.0,2181.8588,2220.1445,25733918550.6,2184.1582
000941.XSHG,2015-08-12,2181.8588,2137.9717,1079232900.0,2139.0767,2192.0365,18673458162.0,2156.4893
000941.XSHG,2015-08-13,2139.0767,2114.8469,1049328800.0,2188.208,2188.2593,17810804219.0,2131.4254
000941.XSHG,2015-08-14,2188.208,2178.4523,1153583500.0,2197.3424,2232.1917,20430647664.2,2210.8538
000941.XSHG,2015-08-17,2197.3424,2177.0577,993603100.0,2227.8134,2231.9219,17424212949.3,2187.866
000941.XSHG,2015-08-18,2227.8134,2039.6793,1290185100.0,2043.0567,2243.0217,21426136604.5,2236.0036
000941.XSHG,2015-08-19,2043.0567,1902.3992,1202465000.0,2077.3801,2096.2722,18201462565.1,1968.0614
000941.XSHG,2015-08-20,2077.3801,1982.1649,872961600.0,1982.3918,2074.4359,13545295272.2,2051.9364
000941.XSHG,2015-08-21,1982.3918,1868.5337,884614200.0,1882.4786,1981.9892,13294407270.8,1945.1929
000941.XSHG,2015-08-24,1882.4786,1723.9666,784992600.0,1724.0189,1816.1382,10910398062.0,1798.3729
000941.XSHG,2015-08-25,1724.0189,1578.8301,975774100.0,1579.5361,1638.1773,12452056289.5,1586.5921
000941.XSHG,2015-08-26,1579.5361,1503.9994,998458100.0,1517.0194,1631.5924,12317544331.1,1584.7114
000941.XSHG,2015-08-27,1517.0194,1498.8048,853591600.0,1582.1794,1583.0065,10376356887.4,1546.1903
000941.XSHG,2015-08-28,1582.1794,1595.9876,966147600.0,1672.7714,1675.3455,12422503015.8,1605.4066
000941.XSHG,2015-08-31,1672.7714,1617.8544,866611500.0,1669.9536,1674.3202,11266100683.6,1664.9942
000941.XSHG,2015-09-01,1669.9536,1565.3912,841888100.0,1618.1206,1646.8770000000006,10816776388.9,1646.5825
000941.XSHG,2015-09-02,1618.1206,1542.7627,934356400.0,1617.7966,1642.8274,11795850518.5,1547.3276
000941.XSHG,2015-09-07,1617.7966,1586.0082,647591900.0,1592.5297,1677.8449,8575347094.1,1630.4097
000941.XSHG,2015-09-08,1592.5297,1559.1514,522309700.0,1646.8029,1652.1513,6657636779.3,1587.918
000941.XSHG,2015-09-09,1646.8029,1649.1556,916514000.0,1693.0636,1706.9284,12000240473.0,1657.8541
000941.XSHG,2015-09-10,1693.0636,1661.8970000000006,674302500.0,1676.0737,1711.4524,8842822796.3,1671.5374
000941.XSHG,2015-09-11,1676.0737,1646.2715,483121500.0,1667.0798,1693.3713,6294542920.4,1671.1469
000941.XSHG,2015-09-14,1667.0798,1557.9794,716730300.0,1592.8116,1690.764,9068518027.1,1685.8019
000941.XSHG,2015-09-15,1592.8116,1490.54,520806500.0,1501.5616,1576.3998,6012493541.9,1556.8771
000941.XSHG,2015-09-16,1501.5616,1493.6127,678730700.0,1602.0176,1612.223,7762357795.2,1498.8858
000941.XSHG,2015-09-17,1602.0176,1559.8083,705675500.0,1560.0220000000006,1634.6112,8832133840.5,1594.2284
000941.XSHG,2015-09-18,1560.0220000000006,1557.0382,402693500.0,1573.0879,1587.1809,4976267269.9,1573.0772
000941.XSHG,2015-09-21,1573.0879,1554.5592,504746700.0,1627.9402,1629.6364,6448255599.2,1561.1704
000941.XSHG,2015-09-22,1627.9402,1621.0587,615987000.0,1637.9803,1652.7654,7964478362.1,1635.3649
000941.XSHG,2015-09-23,1637.9803,1607.1793,520240300.0,1617.899,1643.9429,7016203670.6,1611.9969
000941.XSHG,2015-09-24,1617.899,1615.8113,461657800.0,1631.855,1642.9929,6254866667.1,1633.2792
000941.XSHG,2015-09-25,1631.855,1574.2915,517170200.0,1585.8888,1632.9653,6540457508.8,1625.1125
