order_book_id,date,high,prev_close,volume,open,low,close,total_turnover
399808.XSHE,2018-09-18,1258.6691,1238.1314,877427591.0,1233.2276,1229.0267,1258.6691,8858021645.0
399808.XSHE,2018-09-19,1279.1334,1258.6691,1054804072.0,1254.4256,1252.0987,1270.6065,10905576266.0
399808.XSHE,2018-09-20,1280.7695,1270.6065,896139078.0,1269.8958,1268.363,1268.5229,9636314312.0
399808.XSHE,2018-09-21,1294.0224,1268.5229,1102216881.0,1272.8135,1266.0499,1292.6766,12886108438.0
399808.XSHE,2018-09-25,1294.7514,1292.6766,771018522.0,1285.0298,1282.3137,1289.6985,9283005231.0
399808.XSHE,2018-09-26,1309.6726,1289.6985,1162180341.0,1292.4181,1290.0984,1302.241,12208596511.0
399808.XSHE,2018-09-27,1302.0282,1302.241,1028012864.0,1302.0282,1283.5186,1284.2902,11029688647.0
399808.XSHE,2018-09-28,1299.3259,1284.2902,890803167.0,1286.2721,1282.3893,1299.2593,9604112773.0
399808.XSHE,2018-10-08,1282.7849,1299.2593,1013131307.0,1275.6712,1253.5176,1255.1469,10041648652.0
399808.XSHE,2018-10-09,1264.3673,1255.1469,882881773.0,1256.5125,1244.7724,1250.3318,8420347624.0
399808.XSHE,2018-10-10,1257.3018,1250.3318,898370598.0,1253.8786,1229.5835,1236.7046,10289726577.0
399808.XSHE,2018-10-11,1200.9784,1236.7046,1515440964.0,1193.6786,1142.0585,1149.7391,13121439124.0
399808.XSHE,2018-10-12,1151.9576,1149.7391,1420849536.0,1138.321,1104.0028,1146.4308,11355279510.0
399808.XSHE,2018-10-15,1160.5528,1146.4308,930267815.0,1151.6148,1128.8782,1130.0061,8511432888.0
399808.XSHE,2018-10-16,1137.9091,1130.0061,911781205.0,1130.9938,1099.1866,1105.5005,7564256607.0
399808.XSHE,2018-10-17,1128.1378,1105.5005,935701237.0,1122.6719,1091.2821,1117.8136,8758418608.0
399808.XSHE,2018-10-18,1109.6713,1117.8136,1010891343.0,1109.6713,1089.5598,1089.9939,7789351526.0
399808.XSHE,2018-10-19,1122.3324,1089.9939,1085806498.0,1073.251,1071.4375,1120.8769,9122801525.0
399808.XSHE,2018-10-22,1187.0462,1120.8769,1507783372.0,1132.7836,1132.7836,1175.1035,13378548680.0
399808.XSHE,2018-10-23,1177.8827,1175.1035,1120043682.0,1175.8924,1142.6044,1150.3775,9852804608.0
399808.XSHE,2018-10-24,1166.6144,1150.3775,930091652.0,1144.5068,1143.6093,1154.5474,7964260495.0
399808.XSHE,2018-10-25,1150.7538,1154.5474,926537447.0,1122.771,1114.7119,1149.4439,8107473142.0
399808.XSHE,2018-10-26,1166.0207,1149.4439,901550405.0,1157.3602,1144.2882,1149.5877,7316543301.0
